APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1100045,,Perspex Frost 10mm Polar White (S2 030) 2030x1525x10,Perspex,1.00,1.00,600.83,,,,,,11,600.83,,,Sheet,Each,Thickness,10 mm,915.00,2030.00,1525.00,10.00,,Sheet,Polar White,,,,,,
1100028,PX305203010FRABL,Perspex Frost 10mm Arctic Blue (S2 7T77) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Arctic Blue,,,,,,
1100029,,Perspex Frost 10mm Arctic Blue (S2 7T77) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Arctic Blue,,,,,,
1100030,PX305203010FRBOR,Perspex Frost 10mm Burnt Orange (S2 3T37) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Burnt Orange,,,,,,
1100031,,Perspex Frost 10mm Burnt Orange (S2 3T37) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Burnt Orange,,,,,,
1100032,PX305203010FRCD9T23,Perspex Frost 10mm Charcoal Dusk/Slate Grey (S2 9T23) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Charcoal Dusk/Slate Grey,,,,,,
1100033,,Perspex Frost 10mm Charcoal Dusk/Slate Grey (S2 9T23) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Charcoal Dusk/Slate Grey,,,,,,
1100036,PX305203010FRCIT,Perspex Frost 10mm Citrus Yellow (S2 2T07) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Citrus Yellow,,,,,,
1100037,,Perspex Frost 10mm Citrus Yellow (S2 2T07) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Citrus Yellow,,,,,,
1100038,PX305203010FRCRC,Perspex Frost 10mm Crystal Clear (S2 000) 3050x2030x10,Perspex,1.00,1.00,1090.02,,,,,,11,1090.02,,,Sheet,Each,Thickness,10 mm,1635.00,3050.00,2030.00,10.00,,Sheet,Clear,,,,,,
1100039,,Perspex Frost 10mm Crystal Clear (S2 000) 2030x1525x10,Perspex,1.00,1.00,572.25,,,,,,11,572.25,,,Sheet,Each,Thickness,10 mm,880.00,2030.00,1525.00,10.00,,Sheet,Clear,,,,,,
1100034,PX305203010FRCRE,Perspex Frost 10mm Chilli Red (S2 4T50) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Chilli Red,,,,,,
1100035,,Perspex Frost 10mm Chilli Red (S2 4T50) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Chilli Red,,,,,,
1100042,PX305203010FROCR,Perspex Frost 10mm Orange Crush/Mandarin Orange (S2 3T17) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Orange Crush/Mandarin Orange,,,,,,
1100043,,Perspex Frost 10mm Orange Crush/Mandarin Orange (S2 3T17) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Orange Crush/Mandarin Orange,,,,,,
1100128,PX305203035268,Perspex Frost Naturals 3mm Light Brown (S2 5268) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Light Brown,,,,,,
1100129,,Perspex Frost Naturals 3mm Light Brown (S2 5268) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Light Brown,,,,,,
1100126,PX305203035269,Perspex Frost Naturals 3mm Dark/Walnut Brown (S2 5269) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Dark/Walnut Brown,,,,,,
1100127,,Perspex Frost Naturals 3mm Dark/Walnut Brown (S2 5269) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Dark/Walnut Brown,,,,,,
1100132,PX305203039221,Perspex Frost Naturals 3mm Midnight Black (S2 9221) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Midnight Black,,,,,,
1100133,,Perspex Frost Naturals 3mm Midnight Black (S2 9221) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Midnight Black,,,,,,
1100130,PX305203039642,Perspex Frost Naturals 3mm Light Grey (S2 9642) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Light Grey,,,,,,
1100131,,Perspex Frost Naturals 3mm Light Grey (S2 9642) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Light Grey,,,,,,
1100124,PX305203039643,Perspex Frost Naturals 3mm Dark Grey (S2 9643) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Dark Grey,,,,,,
1100125,,Perspex Frost Naturals 3mm Dark Grey (S2 9643) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Dark Grey,,,,,,
1100170,PX30520303CO744,Perspex Solid Colours 3mm Blue (744) 3050x2030x3 mm,Perspex,1.00,1.00,343.50,,,,,,11,343.50,,,Sheet,Each,Thickness,3 mm,520.00,3050.00,2030.00,3.00,,Sheet,Blue,,,,,,
1100171,,Perspex Solid Colours 3mm Blue (744) 2030x1525x3 mm,Perspex,1.00,1.00,171.70,,,,,,11,171.70,,,Sheet,Each,Thickness,3 mm,305.00,2030.00,1525.00,3.00,,Sheet,Blue,,,,,,
1100172,PX30520303CO962CV,Perspex Solid Colours 3mm CV Black (962 D1-1) 3050x2030x3 mm,Perspex,1.00,1.00,343.50,,,,,,11,343.50,,,Sheet,Each,Thickness,3 mm,520.00,3050.00,2030.00,3.00,,Sheet,Black ,,,,,,
1100173,,Perspex Solid Colours 3mm CV Black (962 D1-1) 2030x1525x3 mm,Perspex,1.00,1.00,171.70,,,,,,11,171.70,,,Sheet,Each,Thickness,3 mm,305.00,2030.00,1525.00,3.00,,Sheet,Black ,,,,,,
1100054,PX30520303FCCHI,Perspex Frost 3mm Chilli Red (S2 4T50) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Chilli Red,,,,,,
1100055,,Perspex Frost 3mm Chilli Red (S2 4T50) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Chilli Red,,,,,,
1100056,PX30520303FCCIT,Perspex Frost 3mm Citrus Yellow (S2 2T07) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Citrus Yellow,,,,,,
1100057,,Perspex Frost 3mm Citrus Yellow (S2 2T07) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Citrus Yellow,,,,,,
