"APE code","Barcode"," 4L'","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
3200344,,"HIPS White Satin PE - 1370x760x0.25T ","High Impact Polystryene (HIPS)",1,1,3.74,,,,,,32,3.74,,,"Sheet","Each",,,0,1370,760,0.25,,"Sheet","White",,,,,,
3200345,,"HIPS White Satin PE - 1370x760x0.5T ","High Impact Polystryene (HIPS)",1,1,8.46,,,,,,32,8.46,,,"Sheet","Each",,,0,1370,760,0.5,,"Sheet","White",,,,,,
3200346,,"HIPS White Satin PE - 1370x760x0.75T ","High Impact Polystryene (HIPS)",1,1,12.67,,,,,,32,12.67,,,"Sheet","Each",,,0,1370,760,0.75,,"Sheet","White",,,,,,
3200184,,"Polypropylene Flute Yellow 550 GSM - 2440x1220x3.3T ","Flute",1,1,34.44,,,,,,32,34.44,,,"Sheet","Each",,,68.88,2440,1220,3.3,,"Sheet","Yellow",,,,,,
3200057,,"Polypropylene Flute Yellow 900 GSM - 2440x1220x5T ","Flute",1,1,53.9,,,,,,32,53.9,,,"Sheet","Each",,,91.63,2440,1220,5,,"Sheet","Yellow",,,,,,
3200032,,"MDF - 3600x1800x25T ","MDF",1,1,0,,,,,,32,,,,"Sheet","Each",,,0,3600,1800,25,,"Sheet","na ",,,,,,
3200158,,"MDF - 3600x1800x6T ","MDF",1,1,0,,,,,,32,,,,"Sheet","Each",,,0,3600,1800,6,,"Sheet","na ",,,,,,
3200164,,"Living Hinge - 1830x32 ","DISPLAY",1,1,0,,,,,,32,,,,"Each","Each",,,0,1830,32,,,"Each","na ",,,,,,
3200091,,"Extruded Acrylic Triangle Rod - 1200x3T ","Acrylic",1,1,2.5,,,,,,32,2.5,,,"Each","Each",,,5,1200,,3,,"Tube","na ",,,,,,
3200153,,"Xerapol Kit Polish Cloth Sandpaper - 50g Kit","Cleaner/ Scratch Remove",1,1,4.56,,,,,,32,,,,"Each","Each",,,9.12,,,,,"Sheet","na ",,,,,,
3200092,,"Extruded Acrylic Triangle Rod - 1200x4T ","Acrylic",1,1,5.5,,,,,,32,5.5,,,"Each","Each",,,11,1200,,4,,"Tube","na ",,,,,,
3200093,,"Extruded Acrylic Triangle Rod - 1200x5T ","Acrylic",1,1,7,,,,,,32,7,,,"Each","Each",,,14,1200,,5,,"Tube","na ",,,,,,
3200154,,"MDF - 2400x1220x3T ","MDF",1,1,8.68,,,,,,32,,,,"Sheet","Each",,,17.36,2400,1200,12,,"Sheet","na ",,,,,,
3200094,,"Extruded Acrylic Triangle Rod - 1200x6T ","Acrylic",1,1,9,,,,,,32,9,,,"Each","Each",,,18,1200,,6,,"Tube","na ",,,,,,
3200152,,"VU-Plex-Acrylic Cleaner - Anti-static & Polish - 375gm","Cleaner",1,1,11.43,,,,,,32,,,,"Each","Each",,,22.86,,,,,"Each","na ",,,,,,
3200067,,"'Acri-Bond Adhesive #105 500ml'","Adhesive",,1,122.9,,,,,,32,22.9,,,"Each","Each",,,,45.8,,,,"Each","na ",,,,,,
3200155,,"MDF - 2400x1200x9T ","MDF",1,1,23.23,,,,,,32,,,,"Sheet","Each",,,46.46,2400,1200,9,,"Sheet","na ",,,,,,
3200156,,"MDF - 3600x1220x6T ","MDF",1,1,23.63,,,,,,32,,,,"Sheet","Each",,,47.26,3600,1200,6,,"Sheet","na ",,,,,,
3200021,,"MDF - 2400x1200x12T ","MDF",1,1,27.8,,,,,,32,,,,"Sheet","Each",,,47.26,2400,1200,12,,"Sheet","na ",,,,,,
