"APE code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP Discount %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price x 1 CTN","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account","Vendors/Price 1 - 4 CTN","Vendors/Price 5+ CTN"
1800106,635,"Acetal Scan Hook 100Mm CTN Qty 100","Hook",1,1,0.95,,,,,,18,0.95,,,"Hook","Carton",,,1.71,,,,,,,,,,,,,0.83,0.72
1800107,636,"Acetal Scan Hook 150Mm CTN Qty 100","Hook",1,1,1.1,,,,,,18,1.1,,,"Hook","Carton",,,1.98,,,,,,,,,,,,,0.94,0.82
1800108,637,"Acetal Scan Hook 200Mm CTN Qty 100","Hook",1,1,1.3,,,,,,18,1.3,,,"Hook","Carton",,,2.34,,,,,,,,,,,,,1.1,0.96
1800109,660,"Al Post/ Screw 4.5 CTN Qty 200","Screw",1,1,0.55,,,,,,18,0.55,,,"Screw","Carton",,,0.99,,,,,,,,,,,,,0.36,0.33
1800110,661,"Al Post/ Screw 6.0 CTN Qty 200","Screw",1,1,0.55,,,,,,18,0.55,,,"Screw","Carton",,,0.99,,,,,,,,,,,,,0.36,0.33
1800111,662,"Al Post/ Screw 10 CTN Qty 200","Screw",1,1,0.55,,,,,,18,0.55,,,"Screw","Carton",,,0.99,,,,,,,,,,,,,0.36,0.33
1800112,663,"Al Post/ Screw 12 CTN Qty 200","Screw",1,1,0.75,,,,,,18,0.75,,,"Screw","Carton",,,1.35,,,,,,,,,,,,,0.55,0.45
1800113,670,"Chrome 2 Way Connector CTN Qty 200","Connector",1,1,1.6,,,,,,18,1.6,,,"Connector","Carton",,,2.88,,,,,,,,,,,,,1.23,1.07
1800114,671,"Chrome 3 Way Connector CTN Qty 200","Connector",1,1,1.85,,,,,,18,1.85,,,"Connector","Carton",,,3.33,,,,,,,,,,,,,1.43,1.24
1800115,672,"Chrome 4 Way Connector CTN Qty 200","Connector",1,1,2.63,,,,,,18,2.63,,,"Connector","Carton",,,4.73,,,,,,,,,,,,,2.02,1.76
1800116,673,"Chr 2 Way 120 Deg CTN Qty 200","Connector",1,1,1.88,,,,,,18,1.88,,,"Connector","Carton",,,3.38,,,,,,,,,,,,,1.45,1.26
1800117,674,"Chr 3 Way 120 Deg CTN Qty 200","Connector",1,1,2.43,,,,,,18,2.43,,,"Connector","Carton",,,4.37,,,,,,,,,,,,,1.87,1.63
1800118,675,"Chrome Hinge CTN Qty 100","Hinge",1,1,4.51,,,,,,18,4.51,,,"Hinge","Carton",,,8.12,,,,,,,,,,,,,3.47,3.02
1800119,676,"Hasp w/o Pin CTN Qty 200","Connector",1,1,2.35,,,,,,18,2.35,,,"Connector","Carton",,,4.23,,,,,,,,,,,,,1.81,1.57
1800120,677,"3 Way Adjustable Chrome CTN Qty 100","Connector",1,1,3.8,,,,,,18,3.8,,,"Connector","Carton",,,6.84,,,,,,,,,,,,,3.4,2.95
1800121,678,"4 Way Adjustable Chrome CTN Qty 100","Connector",1,1,4.95,,,,,,18,4.95,,,"Connector","Carton",,,8.91,,,,,,,,,,,,,4.4,3.89
1800122,695,"End Clip & Screw (1/4 x 16mm) CTN Qty 100","Connector",1,1,2.47,,,,,,18,2.47,,,"Connector","Carton",,,4.45,,,,,,,,,,,,,1.9,1.65
1800123,696,"Cnt Clip & 2 x Screws (1/4 x 16mm) CTN Qty 100","Screw",1,1,3.58,,,,,,18,3.58,,,"Screw","Carton",,,6.44,,,,,,,,,,,,,2.75,2.39
1800124,750,"Auto Insert Hook Sing 50 CTN Qty 2000","Hook",1,1,0.3,,,,,,18,0.3,,,"Hook","Carton",,,0.54,,,,,,,,,,,,,0.25,0.22
1800125,751,"Auto Insert Hook Sing 100 CTN Qty 2000","Hook",1,1,0.35,,,,,,18,0.35,,,"Hook","Carton",,,0.63,,,,,,,,,,,,,0.29,0.26
1800126,752,"Auto Insert Hook Sing 150 CTN Qty 1500","Hook",1,1,0.42,,,,,,18,0.42,,,"Hook","Carton",,,0.76,,,,,,,,,,,,,0.35,0.31
1800127,753,"Auto Insert Hook Sing 200 CTN Qty 1000","Hook",1,1,0.49,,,,,,18,0.49,,,"Hook","Carton",,,0.88,,,,,,,,,,,,,0.41,0.36
1800128,754,"Auto Insert Hook Sing 250 CTN Qty 600","Hook",1,1,0.55,,,,,,18,0.55,,,"Hook","Carton",,,0.99,,,,,,,,,,,,,0.46,0.41
1800129,755,"Auto Insert Hook Doub 50 CTN Qty 2000","Hook",1,1,0.38,,,,,,18,0.38,,,"Hook","Carton",,,0.68,,,,,,,,,,,,,0.32,0.28
1800130,756,"Auto Insert Hook Sing 100 CTN Qty 1500","Hook",1,1,0.47,,,,,,18,0.47,,,"Hook","Carton",,,0.85,,,,,,,,,,,,,0.39,0.35
1800131,757,"Auto Insert Hook Sing 150 CTN Qty 800","Hook",1,1,0.55,,,,,,18,0.55,,,"Hook","Carton",,,0.99,,,,,,,,,,,,,0.46,0.41
1800132,758,"Auto Insert Hook Sing 200 CTN Qty 600","Hook",1,1,0.65,,,,,,18,0.65,,,"Hook","Carton",,,1.17,,,,,,,,,,,,,0.54,0.48
